song_id,song_name,popularity,explicit,song_type,artist_ids,artist_names,genres,primary_genre,release_year,acousticness,instrumentalness,loudness,speechiness,valence,tempo
2VX37A1p7tkvrH2UJwAU0T,Desperate Man,57,False,Solo,['2IvkS5MXK0vPGnwyJsrEyV'],['Eric Church'],{'country': 1},country,2018,0.0716,0.0045,-5.87,0.0341,0.901,109.991
4u8Gkqyg87iGSW3hQbbnQZ,Burn the House Down,63,True,Solo,['6s22t5Y3prQHyaHWUN1R1C'],['AJR'],{'rock': 1},rock,2018,0.0364,0.0,-4.357,0.168,0.568,184.353
0AcicReEGm1qcENjqzh1Tg,Love Scars 3,70,True,Solo,['6Xgp2XMz1fhVYe7i6yNAax'],['Trippie Redd'],{'hip hop': 1},hip hop,2018,0.136,0.0,-7.914,0.0621,0.117,81.982
2RSHsoi04658QL5xgQVov3,Bad Liar,82,False,Solo,['53XhwfbYqKCa1cC15pYq2q'],['Imagine Dragons'],{'rock': 1},rock,2018,0.0722,0.0,-6.993,0.0703,0.0827,177.913
2rbDhOo9Fh61Bbu23T2qCk,Always Remember Us This Way,79,False,Solo,['1HY2Jd0NmPuamShAr6KMms'],['Lady Gaga'],{'pop': 1},pop,2018,0.299,0.0,-5.972,0.0409,0.296,129.976
1SxagO9GK0UUeEYLmH8Pln,Toxic Waste,63,True,Solo,['6Xgp2XMz1fhVYe7i6yNAax'],['Trippie Redd'],{'hip hop': 1},hip hop,2018,0.0555,1.95e-06,-11.404,0.0629,0.379,111.974
0OgGn1ofaj55l2PcihQQGV,Drew Barrymore,73,True,Solo,['1ShZZUjkbXCjhwrb18BA8I'],['Bryce Vine'],{'pop': 1},pop,2017,0.493,0.00118,-7.312,0.0595,0.25,151.93
514rhnksEwHUh6LxXsQ4Y9,Back To You,73,False,Solo,['0C8ZW7ezQVs4URX5aX7Kqx'],['Selena Gomez'],{'pop': 1},pop,2018,0.0984,1.26e-06,-6.271,0.0493,0.494,102.036
6NFyWDv5CjfwuzoCkw47Xf,Delicate,74,False,Solo,['06HL4z0CvFAxyc27GXpf02'],['Taylor Swift'],{'pop': 1},pop,2017,0.216,0.000357,-10.178,0.0682,0.0499,95.045
1fvCggAYrW0VtCljtqv4h2,Last Memory,61,True,Solo,['3EW0kQ1skZiK1NHg3Spt9J'],['Takeoff'],{'hip hop': 1},hip hop,2018,0.175,0.0,-5.805,0.244,0.172,118.032
33471tzU1VghDg9zNgGRpz,Hotel Key,68,False,Solo,['6y8XlgIV8BLlIg1tT1R10i'],['Old Dominion'],{'country': 1},country,2017,0.152,0.0,-5.087,0.0475,0.964,102.018
1jo3TwNGCXfNdB5uba3ZVv,Killshot,76,True,Solo,['7dGJo4pcD2V6oG8kP0tJRR'],['Eminem'],{'hip hop': 1},hip hop,2018,0.0989,0.0,-8.645,0.378,0.599,105.814
1B4gJRq61xTs6r1O0Uq2iY,Casper,71,True,Solo,['3EW0kQ1skZiK1NHg3Spt9J'],['Takeoff'],{'hip hop': 1},hip hop,2018,0.525,1.12e-06,-7.397,0.209,0.753,140.071
7azo4rpSUh8nXgtonC6Pkq,Thriller,66,False,Solo,['3fMbdgg4jU18AjLCKBhRSm'],['Michael Jackson'],{'pop': 1},pop,2017,0.0816,0.000108,-3.725,0.0738,0.721,118.421
